Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound_ffill,Stint_ffill,TotalLaps,DriverNumber,DriverAbbreviation,Team,TrackTemp,AirTemp,Humidity,Rainfall,TrackStatus,Season,Race,Session,Circuit,OfficialEventName,LapTimeSeconds,TyreCompound,TyreAge,Stint,EstimatedFuelLoad_kg,Classification,UsedInModel,ClassificationReason,EstimatedFuelEffect_sec,EstimatedTrackEvoEffect_sec,EstimatedThermalEffect_sec,NormalisedLapTime_sec,Provenance,Stint_ID,StintBasePace_sec,EstimatedTyreDegradation_sec,NaiveRawStintDelta_sec
0 days 01:05:53.220000,1,0 days 00:01:37.880000,2,0,,,0 days 00:00:31.285000,0 days 00:00:42.269000,0 days 00:00:24.326000,0 days 01:04:46.662000,0 days 01:05:28.931000,0 days 01:05:53.257000,,252.0,276.0,296.0,True,SOFT,0.0,5.0,1,1,Red Bull Racing,29.0,23.8,26.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,97.88,SOFT,5.0,0,103.16,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.404,-0.05,0.036,94.49,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,0.0,-0.477
0 days 01:07:31.577000,1,0 days 00:01:38.357000,3,0,,,0 days 00:00:31.499000,0 days 00:00:42.474000,0 days 00:00:24.384000,0 days 01:06:24.756000,0 days 01:07:07.230000,0 days 01:07:31.614000,229.0,254.0,276.0,294.0,False,SOFT,0.0,6.0,1,1,Red Bull Racing,28.8,23.8,29.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,98.357,SOFT,6.0,0,101.32,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.344,-0.074,0.038,95.049,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,0.0,0.0
0 days 01:09:10.143000,1,0 days 00:01:38.566000,4,0,,,0 days 00:00:31.342000,0 days 00:00:42.674000,0 days 00:00:24.550000,0 days 01:08:02.956000,0 days 01:08:45.630000,0 days 01:09:10.180000,231.0,250.0,276.0,297.0,False,SOFT,0.0,7.0,1,1,Red Bull Racing,28.7,23.8,31.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,98.566,SOFT,7.0,0,99.47,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.283,-0.096,0.04,95.339,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,0.29,0.209
0 days 01:10:49.020000,1,0 days 00:01:38.877000,5,0,,,0 days 00:00:31.498000,0 days 00:00:42.854000,0 days 00:00:24.525000,0 days 01:09:41.678000,0 days 01:10:24.532000,0 days 01:10:49.057000,229.0,256.0,276.0,293.0,False,SOFT,0.0,8.0,1,1,Red Bull Racing,28.5,23.8,33.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,98.877,SOFT,8.0,0,97.63,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.222,-0.117,0.042,95.73,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,0.681,0.52
0 days 01:12:27.960000,1,0 days 00:01:38.940000,6,0,,,0 days 00:00:31.572000,0 days 00:00:42.759000,0 days 00:00:24.609000,0 days 01:11:20.629000,0 days 01:12:03.388000,0 days 01:12:27.997000,,255.0,275.0,288.0,False,SOFT,0.0,9.0,1,1,Red Bull Racing,28.3,23.6,34.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,98.94,SOFT,9.0,0,95.79,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.161,-0.138,0.045,95.872,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,0.823,0.583
0 days 01:14:07.022000,1,0 days 00:01:39.062000,7,0,,,0 days 00:00:31.637000,0 days 00:00:42.845000,0 days 00:00:24.580000,0 days 01:12:59.634000,0 days 01:13:42.479000,0 days 01:14:07.059000,228.0,253.0,276.0,289.0,False,SOFT,0.0,10.0,1,1,Red Bull Racing,28.3,23.6,35.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,99.062,SOFT,10.0,0,93.95,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.1,-0.157,0.045,96.074,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,1.025,0.705
0 days 01:15:46.114000,1,0 days 00:01:39.092000,8,0,,,0 days 00:00:31.616000,0 days 00:00:42.875000,0 days 00:00:24.601000,0 days 01:14:38.675000,0 days 01:15:21.550000,0 days 01:15:46.151000,229.0,253.0,276.0,290.0,False,SOFT,0.0,11.0,1,1,Red Bull Racing,28.1,23.5,35.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,99.092,SOFT,11.0,0,92.11,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,3.04,-0.175,0.048,96.179,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,1.13,0.735
0 days 01:17:25.365000,1,0 days 00:01:39.251000,9,0,,,0 days 00:00:31.625000,0 days 00:00:42.957000,0 days 00:00:24.669000,0 days 01:16:17.776000,0 days 01:17:00.733000,0 days 01:17:25.402000,228.0,252.0,276.0,288.0,False,SOFT,0.0,12.0,1,1,Red Bull Racing,28.0,23.4,36.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,99.251,SOFT,12.0,0,90.26,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,2.979,-0.193,0.049,96.416,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,1.367,0.894
0 days 01:19:04.757000,1,0 days 00:01:39.392000,10,0,,,0 days 00:00:31.736000,0 days 00:00:43.051000,0 days 00:00:24.605000,0 days 01:17:57.138000,0 days 01:18:40.189000,0 days 01:19:04.794000,,248.0,275.0,,False,SOFT,0.0,13.0,1,1,Red Bull Racing,28.0,23.3,36.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,99.392,SOFT,13.0,0,88.42,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,2.918,-0.21,0.049,96.635,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,1.586,1.035
0 days 01:20:44.236000,1,0 days 00:01:39.479000,11,0,,,0 days 00:00:31.749000,0 days 00:00:43.090000,0 days 00:00:24.640000,0 days 01:19:36.543000,0 days 01:20:19.633000,0 days 01:20:44.273000,227.0,251.0,276.0,289.0,False,SOFT,0.0,14.0,1,1,Red Bull Racing,28.0,23.3,36.0,False,1,2022,2022-03-20_Bahrain_Grand_Prix,2022-03-20_Race,Sakhir,2022-03-20 Bahrain Grand Prix,99.479,SOFT,14.0,0,86.58,GREEN_VALID,True,Clean flying lap with observable degradation dynamics.,2.857,-0.226,0.049,96.799,FASTF1_CACHE_GROUNDED,2022_2022-03-20_Bahrain_Grand_Prix_1_s0,95.049,1.75,1.122
